latitude,longitude,title,reference_url,thumbnail_url
-27.472521,-48.532147,"Praia do Rola",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.486071,-48.538480,"Praia do Sinfrônio",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.489493,-48.537994,"Praia do Posto do Sambaqui",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.490844,-48.531514,"Praia do Sambaqui",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.507558,-48.520108,"Praia de Santo Antônio de Lisboa",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.522060,-48.523591,"Praia Comprida",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.532689,-48.525521,"Praia do Cacupé Pequeno",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.541092,-48.526902,"Praia do Cacupé Grande",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.560052,-48.517559,"Praia do Saco Grande",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.572796,-48.527889,"Praia da Ponta do Lessa",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.571011,-48.537126,"Praia da Ponta do Recife",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.579119,-48.544395,"Praia da Pedra Grande",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.583736,-48.546864,"Praia de São Luís",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.586212,-48.552835,"Praia de Fora",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.590536,-48.563095,"Praia do Müller",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.591882,-48.563380,"Praia do Arataca",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.728712,-48.511279,"Praia do Parque da Lagoa do Peri",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.543012,-48.460180,"Praia da Costa da Lagoa",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.605716,-48.464842,"Praia do Centro Ou da freguesia da Lagoa",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.606217,-48.462765,"Praia das Areias da lagoa ou das Rendeiras",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.609283,-48.446425,"Praia do Retiro da Lagoa",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.611387,-48.474116,"Praia do Baixio da Lagoa",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.626358,-48.476156,"Praia do Canto da Lagoa",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.576662,-48.586596,"Praia do Balneário",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.579153,-48.575651,"Praia da Ponta do Leal",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.588971,-48.574680,"Praia do Matadouro",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.607849,-48.575167,"Praia do Riso",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.611129,-48.580471,"Praia da Saudade",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.613445,-48.585019,"Praia do Meio",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.615334,-48.585837,"Praia do Castelinho",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.616718,-48.590403,"Praia de Itaguaçu",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.615652,-48.595965,"Praia das Palmeiras",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.611475,-48.597368,"Praia do Bom Abrigo",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
-27.607912,-48.596295,"Praia das Furnas",https://www.flaticon.com/free-icon/beach_1239114?term=beach&related_id=1239114,https://cdn-icons-png.flaticon.com/512/1239/1239114.png
